Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2022,11,9,2.8,2.2,2.6,2.6,-,-,-,-,-
Mandai,2022,11,10,8.2,1.8,3.4,6.2,-,-,-,-,-
Mandai,2022,11,11,0,0,0,0,-,-,-,-,-
Mandai,2022,11,12,12,5,6.2,10,-,-,-,-,-
Mandai,2022,11,13,15.4,6.8,10.8,15,-,-,-,-,-
Mandai,2022,11,14,41,31.6,36.8,39.6,-,-,-,-,-
Mandai,2022,11,15,2.8,1.6,2.2,2.6,-,-,-,-,-
Mandai,2022,11,16,28.6,20.8,21.8,25.4,-,-,-,-,-
Mandai,2022,11,17,0,0,0,0,-,-,-,-,-
Mandai,2022,11,18,0,0,0,0,-,-,-,-,-
Mandai,2022,11,19,6.6,2.2,2.8,3.8,-,-,-,-,-
Mandai,2022,11,20,0.8,0.4,0.6,0.8,-,-,-,-,-
Mandai,2022,11,21,1.4,0.8,1.4,1.4,-,-,-,-,-
Mandai,2022,11,22,4,4,4,4,-,-,-,-,-
Mandai,2022,11,23,13,11.4,12,12.8,-,-,-,-,-
Mandai,2022,11,24,40.2,28.2,40.2,40.2,-,-,-,-,-
Mandai,2022,11,25,7.4,12,40.2,45.2,-,-,-,-,-
Mandai,2022,11,26,0,0,0,0,-,-,-,-,-
Mandai,2022,11,27,0.6,0.2,0.4,0.4,-,-,-,-,-
Mandai,2022,11,28,39.4,29.8,35.2,35.4,-,-,-,-,-
Mandai,2022,11,29,49,40.8,48.8,48.8,-,-,-,-,-
Mandai,2022,11,30,19,13,15.6,18.2,-,-,-,-,-
